CITY,STATE,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-10,2018-11,2018-12
New York,NY,163.0,163.0,177.0,176.0,173.0,148.0,145.0,144.0,152.0,161.0,163.0,160.0,166.0,164.0,160.0,123.0,128.0,131.0,137.0,163.0,166.0,167.0
Los Angeles,CA,87.0,91.0,68.0,61.0,61.0,60.0,62.0,61.0,65.0,64.0,67.0,78.5,70.5,55.0,57.0,55.0,56.0,61.0,59.0,66.0,68.0,74.0
Chicago,IL,123.0,132.0,119.0,83.0,78.0,81.0,84.5,85.0,94.0,97.0,104.0,118.0,135.0,98.0,66.0,75.0,84.0,88.0,89.0,99.0,98.0,118.0
Houston,TX,97.0,99.0,82.0,72.0,69.0,70.0,70.0,72.0,94.0,97.0,89.0,93.0,98.0,80.0,66.0,65.0,69.0,73.0,70.0,82.0,91.0,93.0
San Antonio,TX,82.0,78.5,69.0,67.0,63.0,60.0,63.0,64.0,67.0,71.0,80.0,82.0,81.0,63.0,58.0,56.0,56.0,56.0,58.0,66.0,76.0,72.0
Philadelphia,PA,99.0,112.0,103.0,90.0,88.0,84.0,87.0,82.0,86.0,86.0,91.0,103.5,108.0,102.0,80.0,78.0,76.0,75.0,78.0,81.0,80.0,86.0
Phoenix,AZ,81.0,76.0,64.0,64.0,63.0,63.0,63.0,62.0,64.0,65.0,67.0,77.0,70.0,56.0,54.0,54.0,55.0,55.0,56.0,60.0,59.0,63.0
San Diego,CA,74.5,66.0,51.0,49.0,48.0,48.0,49.0,49.0,54.0,54.0,57.0,61.0,49.0,44.0,46.0,46.0,48.0,49.0,48.0,63.0,66.0,72.0
Dallas,TX,75.0,78.0,62.0,59.0,57.0,56.0,58.0,58.0,67.0,70.0,75.0,80.0,82.0,61.0,56.0,56.0,60.0,64.0,68.0,70.0,69.0,76.0
San Jose,CA,59.0,41.5,39.0,39.0,39.0,40.0,41.0,39.0,38.0,37.0,40.0,41.0,35.0,36.0,35.0,35.0,38.0,41.0,43.0,46.0,53.0,60.0
Austin,TX,73.0,72.0,50.0,48.0,49.0,49.0,53.0,56.0,72.0,75.0,75.0,80.0,77.5,51.0,49.0,47.0,50.0,54.0,57.0,65.0,68.0,67.0
Jacksonville,FL,103.0,94.5,82.0,76.0,76.0,75.0,73.0,73.0,83.0,85.0,82.5,79.0,83.0,68.0,61.5,63.0,67.0,68.0,66.0,73.0,72.0,80.0
San Francisco,CA,,,40.0,39.0,40.0,42.0,43.0,42.0,39.0,43.0,52.0,62.0,39.0,38.0,36.0,36.0,39.0,42.0,44.0,37.0,46.0,55.0
Indianapolis,IN,94.0,102.0,108.0,81.0,67.0,71.0,69.0,68.0,71.0,76.0,79.0,90.0,84.0,74.0,60.0,57.0,56.0,57.0,61.0,61.0,64.0,70.0
Charlotte,NC,87.5,84.0,59.0,58.0,57.0,58.0,52.0,52.0,60.0,62.0,58.0,69.0,62.0,48.0,46.0,49.0,51.0,53.0,55.0,61.0,63.0,66.5
Fort Worth,TX,61.0,54.0,47.0,48.0,47.0,47.0,48.0,50.0,54.0,55.0,61.0,64.0,55.0,52.0,47.0,49.0,48.0,48.0,51.0,61.0,60.0,72.0
Columbus,OH,78.0,85.0,67.0,57.0,56.0,55.0,54.0,55.0,60.0,65.0,64.0,68.5,64.0,48.0,51.0,49.0,51.0,51.0,52.0,58.0,59.0,64.0
Denver,CO,73.0,59.0,52.0,52.0,48.0,46.0,50.0,50.0,51.0,55.0,61.0,63.0,46.0,42.0,42.0,42.0,46.0,46.0,49.0,53.0,55.0,63.0
Seattle,WA,59.5,39.0,36.0,35.0,35.0,37.0,38.0,38.0,38.0,41.0,43.0,49.0,34.0,34.0,34.0,35.0,36.0,39.0,42.0,43.0,58.0,72.0
Washington,DC,78.0,88.0,57.0,53.0,53.0,54.0,58.0,63.0,54.0,57.0,68.0,77.0,78.0,60.0,52.0,53.0,57.0,61.0,61.0,59.5,61.0,69.0
