CITY,STATE,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-10,2018-11,2018-12
New York,NY,699000.0,729000.0,759000.0,792150.5,825000.0,829000.0,813000.0,799000.0,825000.0,829000.0,809000.0,799000.0,799000.0,795000.0,790000.0,815000.0,799000.0,799000.0,779000.0,798000.0,795000.0,798000.0
Los Angeles,CA,720000.0,719000.0,729500.0,749000.0,750000.0,750000.0,750000.0,739900.0,749950.0,750000.0,750000.0,759000.0,780000.0,788500.0,799000.0,799000.0,799988.0,799700.0,799000.0,799900.0,799900.0,799000.0
Chicago,IL,268750.0,285000.0,299000.0,299900.0,299900.0,305000.0,299999.5,299000.0,299250.0,295000.0,285000.0,293194.5,309000.0,324898.5,329000.0,327250.0,325000.0,324900.0,319900.0,324900.0,319900.0,315000.0
Houston,TX,279900.0,280125.0,284900.0,289900.0,294000.0,292000.0,285000.0,284000.0,287000.0,289000.0,289000.0,289900.0,295000.0,299900.0,299999.0,299900.0,299900.0,297500.0,289990.0,293000.0,292990.0,289900.0
San Antonio,TX,229682.5,234900.0,239000.0,244481.5,245000.0,245000.0,245000.0,241900.0,234990.0,234000.0,233000.0,233500.0,231499.0,229999.0,235000.0,239900.0,240000.0,239900.0,237000.0,236500.0,239500.0,239992.5
Philadelphia,PA,161949.5,165000.0,175000.0,185000.0,189900.0,189900.0,189900.0,185000.0,199900.0,199900.0,190000.0,189900.0,195000.0,199900.0,207000.0,217900.0,224900.0,220000.0,217947.5,214999.0,214900.0,212000.0
Phoenix,AZ,255000.0,259900.0,260000.0,269900.0,274900.0,274500.0,274475.0,269995.0,270000.0,269970.0,270000.0,274999.0,279000.0,280000.0,289000.0,289000.0,285000.0,282500.0,279999.0,279900.0,275000.0,275000.0
San Diego,CA,609000.0,609900.0,615000.0,635000.0,640000.0,645000.0,645250.0,635000.0,629450.0,625000.0,624444.0,629000.0,638000.0,649000.0,659000.0,709997.0,699950.0,699000.0,689000.0,685000.0,680000.0,679900.0
Dallas,TX,355000.0,375000.0,388850.0,399900.0,404900.0,399900.0,394449.5,380000.0,379880.0,379000.0,375000.0,374450.0,395000.0,399000.0,399999.5,400000.0,399000.0,395000.0,379949.5,385000.0,386750.0,375000.0
San Jose,CA,769000.0,788000.0,805000.0,819000.0,830000.0,843990.0,839500.0,847500.0,888444.0,889889.0,889000.0,899950.0,975000.0,988000.0,996495.0,998888.0,998000.0,995000.0,980000.0,950000.0,945000.0,939000.0
Austin,TX,369539.5,379900.0,389500.0,399900.0,400000.0,399550.0,399000.0,394000.0,392990.0,381745.0,383745.0,379000.0,379900.0,388000.0,389900.0,389900.0,395000.0,395000.0,388945.0,384990.0,380000.0,377990.0
Jacksonville,FL,175000.0,178900.0,180000.0,188800.0,194000.0,194900.0,195000.0,194900.0,194990.0,199600.0,197507.0,198000.0,200000.0,205000.0,204500.0,209900.0,210000.0,210000.0,209900.0,210000.0,210000.0,210100.0
San Francisco,CA,1150000.0,1195000.0,1195000.0,1195000.0,1195000.0,1190000.0,1167000.0,1160000.0,1199000.0,1196500.0,1195000.0,1195000.0,1195000.0,1195000.0,1199000.0,1279500.0,1250000.0,1250000.0,1216500.0,1295000.0,1250000.0,1253461.0
Indianapolis,IN,124900.0,125000.0,129900.0,136000.0,144900.0,149900.0,147500.0,147949.5,149900.0,149900.0,149000.0,149900.0,150000.0,155000.0,159900.0,165000.0,165900.0,164900.0,165000.0,166500.0,167000.0,165000.0
Charlotte,NC,265000.0,265000.0,272000.0,284900.0,284900.0,285000.0,277990.0,274510.0,287250.0,286990.0,289000.0,289999.0,297277.5,299900.0,299000.0,299000.0,295000.0,289900.0,285000.0,289900.0,289900.0,287990.0
Fort Worth,TX,219998.0,226850.0,233000.0,236951.0,238000.0,239900.0,239900.0,238700.0,238000.0,239900.0,240000.0,242990.0,248999.5,249900.0,251990.0,255000.0,256565.0,255000.0,254900.0,255000.0,255000.0,256475.0
Columbus,OH,137950.0,139900.0,146900.0,154900.0,160000.0,164837.5,164900.0,164900.0,164900.0,159900.0,154000.0,157000.0,160000.0,160000.0,169000.0,174900.0,179900.0,179900.0,175000.0,171000.0,169900.0,166332.5
Denver,CO,455000.0,465000.0,475000.0,489900.0,479900.0,479000.0,475000.0,480000.0,469900.0,460000.0,470000.0,478000.0,475000.0,485000.0,489000.0,485000.0,479900.0,474974.5,465000.0,469000.0,465000.0,459900.0
Seattle,WA,599000.0,599950.0,616000.0,625000.0,645000.0,650000.0,657000.0,649950.0,679925.0,679725.0,688888.0,695000.0,699000.0,725000.0,719950.0,735000.0,725000.0,725000.0,700000.0,699950.0,699000.0,689900.0
Washington,DC,549000.0,549000.0,549000.0,550000.0,569000.0,569000.0,550000.0,529900.0,562450.0,558000.0,545000.0,530000.0,549900.0,565000.0,585000.0,595000.0,599000.0,585000.0,575500.0,589900.0,584900.0,574999.0
