CITY,STATE,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-10,2018-11,2018-12
New York,NY,21414.0,22063.0,20735.0,19054.0,19878.0,18795.0,18326.0,18009.0,18161.0,18047.0,15391.0,16647.0,20867.0,18650.0,20131.0,21956.0,21285.0,20792.0,20748.0,22969.0,21115.0,19013.0
Los Angeles,CA,5499.0,5656.0,6502.0,5958.0,6754.0,6470.0,6160.0,6755.0,6003.0,5905.0,4447.0,5040.0,5060.0,5286.0,5663.0,6564.0,6474.0,6787.0,7445.0,7975.0,7173.0,6180.0
Chicago,IL,9293.0,9641.0,10892.0,10289.0,11429.0,11041.0,11049.0,11812.0,11213.0,10782.0,8697.0,9094.0,9236.0,10529.0,10812.0,11637.0,11142.0,11357.0,12071.0,12101.0,10325.0,8929.0
Houston,TX,10247.0,10648.0,12006.0,11607.0,12919.0,12546.0,13095.0,13511.0,11375.0,11720.0,10312.0,10771.0,10241.0,11235.0,11859.0,13068.0,12522.0,12880.0,13775.0,13230.0,11994.0,11294.0
San Antonio,TX,4794.0,5065.0,5626.0,4944.0,5536.0,5485.0,5844.0,6146.0,5812.0,6035.0,5237.0,5573.0,5266.0,5538.0,5622.0,6472.0,6316.0,6513.0,7320.0,6818.0,6382.0,6043.0
Philadelphia,PA,5755.0,5968.0,6298.0,5838.0,6242.0,5850.0,5956.0,6343.0,5972.0,6371.0,5126.0,5226.0,5162.0,5339.0,5649.0,6139.0,5679.0,5595.0,6048.0,6494.0,5917.0,5296.0
Phoenix,AZ,6965.0,7531.0,8111.0,7489.0,7874.0,7072.0,6974.0,7280.0,6804.0,7224.0,6188.0,6861.0,6714.0,6709.0,6938.0,7416.0,6862.0,6588.0,6954.0,7082.0,6543.0,6164.0
San Diego,CA,2297.0,2520.0,2733.0,2590.0,2983.0,2661.0,2774.0,3118.0,2638.0,2725.0,2080.0,2384.0,2451.0,2595.0,2903.0,3394.0,3301.0,3638.0,4085.0,4058.0,3612.0,3163.0
Dallas,TX,2998.0,3088.0,3430.0,3216.0,3545.0,3366.0,3605.0,4310.0,4042.0,4215.0,3427.0,3448.0,3535.0,3808.0,4097.0,4553.0,4392.0,4484.0,4752.0,4918.0,4561.0,4042.0
San Jose,CA,,,,,,,,,,,,,,,,,,,,,,
Austin,TX,2637.0,2735.0,3115.0,3227.0,3834.0,3554.0,3671.0,3865.0,3480.0,3444.0,2641.0,2654.0,2670.0,2879.0,3244.0,3794.0,3664.0,3742.0,3909.0,3658.0,3127.0,2672.0
Jacksonville,FL,4282.0,4673.0,4948.0,4591.0,5026.0,4668.0,4688.0,5187.0,4302.0,4513.0,3939.0,4393.0,4336.0,4538.0,4635.0,5114.0,4943.0,5141.0,5456.0,5592.0,5155.0,4736.0
Charlotte,NC,2208.0,2455.0,2609.0,2604.0,2858.0,2731.0,2844.0,3094.0,3058.0,2974.0,2270.0,2416.0,2466.0,2753.0,2914.0,3373.0,3215.0,3285.0,3554.0,3564.0,3108.0,2686.0
Fort Worth,TX,2133.0,2086.0,2262.0,2088.0,2569.0,2568.0,2884.0,3652.0,3209.0,3230.0,2570.0,2825.0,2579.0,2826.0,3061.0,3619.0,3646.0,3817.0,4145.0,3969.0,3476.0,3079.0
Columbus,OH,1706.0,1738.0,1690.0,1462.0,1777.0,1753.0,1893.0,2228.0,1815.0,1797.0,1372.0,1345.0,1089.0,1239.0,1343.0,1702.0,1675.0,1848.0,2272.0,2316.0,1958.0,1684.0
Denver,CO,1632.0,1800.0,2026.0,1809.0,2667.0,2628.0,2619.0,2853.0,2545.0,2284.0,1567.0,1692.0,1638.0,1818.0,2007.0,2444.0,2397.0,2480.0,2857.0,3069.0,2558.0,2168.0
Seattle,WA,864.0,957.0,1180.0,1168.0,1559.0,1440.0,1441.0,1450.0,1453.0,1235.0,700.0,805.0,826.0,1042.0,1230.0,1626.0,1796.0,1799.0,2046.0,2559.0,2093.0,1612.0
Washington,DC,1470.0,1572.0,1773.0,1646.0,1982.0,1949.0,1819.0,1736.0,2013.0,2413.0,1937.0,1941.0,1868.0,2009.0,2271.0,2510.0,2134.0,2069.0,2024.0,2507.0,2208.0,1834.0
